QT	Question
Cause	What causes twenty-nail dystrophy?
PersonOrg	Can you help locate one?
PersonOrg	I cannot find a more affordable genetic lab than the one I was referred to?
Cause	What may be the underlying cause?
Information	What is this condition?
Management	Is this true?
Management	We are interested in learning more about this condition, including the standard course of treatment, since we have not been able to obtain much information about this diagnosis.
Complication	Have any side effects been reported in patients who use these medications?
Management	How is this condition treated?
OtherEffect	Is leukemia and MMIH syndrome related?
Susceptibility	My chances to have a daughter without MMIH syndrome?
Management	How I can prevent a future pregnancy from developing this syndrome?
Susceptibility	If this is a genetic problem?
Susceptibility	I would like to know if it is possible for my son to get this disease?
PersonOrg	Is there anyone at the National Institute of Health with a specific interest in this disease?
Cause	Is it possible that a chemical exposure could have caused it?
Cause	Is it possible that a chemical exposure could have caused it, such as to vinyl chloride?
OtherEffect	Is there any disease associated with this abnormal chromosome finding?
Prognosis	What the success rate is.
Information	I am wondering what treatments there are for this?
Management	I was wondering if you could let me know where I can find more information on this topic.
Management	What type of treatment do I need?
Prognosis	My lower back doesn't seem to work, and I wonder if I will ever be able to walk up stairs.
Prognosis	My lower back doesn't seem to work, and I wonder if I will ever be able to run.
Susceptibility	In other words, what are the chances that the both my husband and I are carriers?
Susceptibility	I am currently pregnant and am wondering what the chances are that future children could have the full syndrome.
Susceptibility	What are the carrier incidence rates?
Information	Where can I find information and help about this?
Management	How can I learn more about treatments?
Information	How can I learn more about clinical trials?
Management	Is there a cure for trimethylaminuria?
Management	How is it treated?
Diagnosis	How can I be tested for this condition?
Information	Can you tell me more about this condition?
Other	In addition, is there any financial assistance to help pay for repair?
Information	Please tell me more about this condition.
Diagnosis	Please tell me more about this condition, how it can be diagnosed.
Management	Please tell me more about this condition, and if there is any cure.
Management	Please tell me more about this condition, treatment available.
Information	What can you tell me about this condition?
Management	What are the best treatment options for a complicated pineal cyst if the patient is experiencing symptoms?
Management	What are the best treatment options for a pineocytoma if the patient is experiencing symptoms?
Diagnosis	How could this nodule be differentiated as a complicated pineal cyst or a pineocytoma?
PersonOrg	Any way to have other families contact us?
Information	Any current research?
Susceptibility	Approximately how many people in the United States have benign essential blepharospasm?
OtherEffect	Are all of the people diagnosed with De Barsy syndrome intellectually delayed?
Susceptibility	Are any of the symptoms of chronic infantile neurologic cutaneous and articular (CINCA) syndrome contagious?
Susceptibility	Are any of the symptoms of chronic infantile neurologic cutaneous and articular (CINCA) syndrome (rashes) contagious?
Susceptibility	Are any of the symptoms of chronic infantile neurologic cutaneous and articular (CINCA) syndrome (fevers) contagious?
OtherEffect	Are behavioral difficulties common among people with septo-optic dysplasia?
Complication	Are carriers of cystic fibrosis at a higher risk for other health conditions?
Manifestation	Are difficulty breathing symptoms of this condition?
Manifestation	Are severe headaches symptoms of this condition?
Management	Are large, inoperable schwannomas treatable with chemotherapy?
Management	Are large, inoperable schwannomas treatable with radiation?
Management	Are large, inoperable schwannomas able to be shrunk with chemotherapy?
Management	Are large, inoperable schwannomas able to be shrunk with radiation?
Susceptibility	What is the risk to offspring of affected individuals?
OtherEffect	Are males with Noonan syndrome able to father children?
Cause	What causes silicosis?
OtherEffect	Are muscle twitching effects of having silicosis?
OtherEffect	Are muscle cramps effects of having silicosis?
OtherEffect	Are muscle pain effects of having silicosis?
Management	Are there any surgical treatments available to alter this condition or is it permanent for life?
Management	Is there anyway to prevent LHON with certain vitamins?
Management	Is there anyway to prevent LHON with certain foods?
Susceptibility	Is it more likely to be passed on by a male or female?
Susceptibility	Is this condition genetic?
Prognosis	Do all people with this condition become permanently blind?
Prognosis	Does their condition progress to permanent blindness?
OtherEffect	Are people with Lebers hereditary optic neuropathy partially blind for a long period of time?
OtherEffect	Are seizures linked to pseudotumor cerebri?
Susceptibility	Are syringomas genetic?
Management	Are there alternate therapies to prednisone?
Information	Are there any active protocols researching this disorder?
Information	Are there any clinical trials being done anywhere on Nonne-Milroy disease?
Diagnosis	Are there any testing being done anywhere on Nonne-Milroy disease?
Management	If not, are there any topical treatments that can ease my symptoms?
Management	Are there any cures for this disorder?
Information	Are there any current studies being done on papular mucinosis?
Management	Are there any dietary supplements that may slow the progression of vision loss?
Management	Are there any natural substances that may slow the progression of vision loss?
Diagnosis	Are there any diseases that have similar symptoms to Parkinson disease?
Management	Are there any effective treatments for this condition?
Cause	Are there any exogenous (outside) factors that cause or worsen Batten disease?
Prognosis	Can the symptoms be reversed if the proper treatment is done?
Management	Are there any medical breakthroughs that are being conducted for polymyositis?
Information	Are there any medical trials that are being conducted for polymyositis?
PersonOrg	How can I get my loved one seen at the National Institutes of Health?
PersonOrg	Are there any new research studies enrolling people with carbamoyl phosphate synthase 1 deficiency?
Information	How can I find clinical trials?
Information	How can I find research studies?
Management	Is it curable?
Management	Are there any new therapies for Wolman disease?
Diagnosis	Are there any other diseases that have similar symptoms to SMA?
Diagnosis	Are there any other diseases that mimic the symptoms of SMA?
Diagnosis	Are there any other conditions that have similar symptoms to SMA?
Diagnosis	Are there any other conditions that mimic the symptoms of SMA?
Diagnosis	Can Silver-Russell syndrome mimic muscular dystrophy?
Diagnosis	Are there any other diseases with the same symptoms as Duchenne muscular dystrophy?
Management	Are there any other treatments for pityriasis lichenoides besides ultraviolet (UV) light treatment?
Management	Are there any other treatments for pityriasis lichenoides besides topical cream?
Cause	Are there any precipitating factors for Familial Mediterranean Fever attacks?
Information	Are there any research studies involving Jeune syndrome?
Information	Are there any clinical trials involving Jeune syndrome?
OtherEffect	Especially the age at which a child with Beckwith-Wiedemann syndrome typically walk?
Prognosis	Are there any sources for the physical milestones of children with Beckwith-Wiedemann syndrome?
Management	Is there any information on procedures that can correct the appearance of persons with this condition?
PersonOrg	Are there any support groups for adults with blepharophimosis type 1?
PersonOrg	Are there any networking opportunities for adults with blepharophimosis type 1?
Management	Does heart transplant cure the heart complications associated with Danon disease?
PersonOrg	If so how can I find specialty centers that offer this?
Diagnosis	Are there any technologies available that can identify the LAMP2 protein in an embryo that has not yet been implanted?
Management	Are there any treatments for low-grade microcephaly?
Cause	Are there certain foods that can trigger a flare up of hyper IgD syndrome?
Information	Is there a good website to obtain more information on this condition?
Management	Are there certain foods that could make the symptoms of herpes zoster oticus better or worse?
Susceptibility	Are there genetic links to glomerulonephritis?
Complication	Has there been any type of evidence that an adult that had received treatment for precocious puberty has any health problems related to that treatment?
OtherEffect	Are there long term effects into adulthood from medicinal treatment of precocious puberty in a 2-3 year old child?
Management	Are there medications available to treat hereditary angioedema?
Management	What about "alternative" medical treatments?
Management	Are there medications besides prednisone which can successfully treat pemphigus?
Management	Are there new therapies for treatment of pili torti?
OtherEffect	Are there people with a 22q11.2 duplication who have no speech?
OtherEffect	Are there people with a 22q11.2 duplication who have no behavior?
OtherEffect	Are there people with a 22q11.2 duplication who have no learning?
OtherEffect	Are there people with a 22q11.2 duplication who have no health problems?
Prognosis	What is life like for those who have this condition?
Prognosis	What is the prognosis?
Management	Are there treatments for trisomy 13?
Management	Are there ways for an individual with Marfan syndrome to prevent passing on the condition to his or her offspring?
Complication	As an individual with G6PD deficiency, would living in a malaria risk country pose a greater risk to me compared with an individual who does not have this deficiency?
Complication	As an individual with G6PD deficiency, would traveling in a malaria risk country pose a greater risk to me compared with an individual who does not have this deficiency?
Management	What type of follow-up do I need as I age?
Susceptibility	What are the chances of developing cancer?
Susceptibility	What are the chances of developing malignant growths?
Manifestation	What are the symptoms?
Prognosis	As an individual with Ollier disease, I have had difficulty locating information regarding the prognosis of this condition.
OtherEffect	At what age does progressive hemifacial atrophy typically present?
Management	What are their options?
Management	If she needs hormonal treatment, which medication may be the safest choice?
Management	Can she take trastuzumab?
Management	Are there chemotherapy drugs that should be avoided?
Management	Is it safe to give radiation therapy considering she has Kindler syndrome?
Information	Can you provide some information on it?
PersonOrg	I would like to get in contact with other families that have this illness.
Susceptibility	Can a couple have a child with achondroplasia if one of the parents have the syndrome?
Susceptibility	Can a mother pass morphea on to her child if it is active during the pregnancy?
Susceptibility	Can an adult get Lafora disease?
Other	Are all doctors familiar with this condition?
Other	Can any doctor cure Buschke Lowenstein tumor?
Susceptibility	Can a person with chromosome 20, trisomy pass this on to his/her children?
Diagnosis	Is genetic testing needed to confirm the diagnosis?
Diagnosis	Can Apert syndrome be diagnosed through clinical assessment (symptoms) alone?
Susceptibility	How many cases of this condition have been identified throughout the world?
Diagnosis	Can Baller-Gerold syndrome be detected prior to birth?
Diagnosis	Can Bloom syndrome be detected before symptoms appear?
Management	Can bronchiolitis obliterans be treated?
Complication	Can Charcot-Marie-Tooth disease cause a paralyzed vocal fold?
Complication	Can Charcot-Marie-Tooth disease cause a a paralyzed laryngeal nerve?
OtherEffect	What are their learning capabilities?
OtherEffect	Can they learn to talk?
Other	Can children with Smith-Magenis syndrome be potty-trained?
Management	Can Dowling-Degos disease be cured?
Information	Where can I learn about ongoing research studies?
Management	Can Down syndrome be treated?
Diagnosis	Specifically, can it be diagnosed by amniocentesis?
Diagnosis	Specifically, can it be diagnosed by chorionic villus sampling (CVS)?
Diagnosis	Can Harlequin ichthyosis be diagnosed before birth?
Susceptibility	Can it be genetically transmitted?
Susceptibility	Can having a left foot that is missing the three middle toes and with two other underdeveloped toes be inherited?
OtherEffect	Can heat and/or humidity affect systemic mastocytosis?
Management	Can hereditary hemorrhagic telangiectasia (HHT) be treated?
Susceptibility	Can hereditary spastic paraplegia be inherited from grandparent to grandchild (skipping the parent), or is it directly inherited from parent to child only?
OtherEffect	Can hyperphenylalaninemia caused by tetrahydrobiopterin (BH4) deficiency cause failure to thrive in babies?
OtherEffect	Can hyperphenylalaninemia caused by tetrahydrobiopterin (BH4) deficiency cause problems with eating solids in babies?
Cause	Can in vitro fertilization cause Duane syndrome?
Information	Where can I get more information about this condition?
Susceptibility	Is it a hereditary condition?
Susceptibility	Can I pass this on to my daughter?
Prognosis	Can Klippel Feil syndrome become life threatening?
Diagnosis	Can Landau-Kleffner syndrome and autism be diagnosed by genetic testing?
Management	How is this treated?
OtherEffect	Can lupus, antiphospholipid syndrome, and ITP antibodies occur together?
Other	At what age up to can you still donate blood?
Susceptibility	Can malignant hyperthermia be transferred by blood donations?
Management	Can my cafe au lait spots be removed with laser surgery?
Diagnosis	Can Polycystic Kidney Diseases be diagnosed in pregnancy?
Management	If so, how who you advise a couple to move forward if they were wanting to conceive a child free of this genetic disorder?
Diagnosis	Can prenatal genetic screening be done for the ATP2C1 responsible for Hailey-Hailey disease?
Susceptibility	How did I end up with it?
Susceptibility	Can protein S deficiency be hereditary if my mom and dad didn't have it?
Management	Can Sezary syndrome be cured?
Management	Can Soliris be used to cure hereditary spherocytosis?
Information	Can someone please provide information for this disease?
PersonOrg	Can someone please provide treating physicians for this disease?
Other	Can the high levels of trimethylamine and fishy smell just involve the urine?
Prognosis	What are the effects in the long run?
OtherEffect	Can a child's large body size have something to do with this?
OtherEffect	Can a child's abnormal face shape have something to do with this?
OtherEffect	Can this syndrome be accompanied by other problems?
Cause	Can a father taking an antidepressant contribute to the reason a baby has a trisomy?
Cause	Can a father taking an anxiety prescription contribute to the reason a baby has a trisomy?
Cause	Can trisomy 13 happen in a fetus because the mother had a chest X-ray early in pregnancy?
Cause	If not, what could cause this?
OtherEffect	Can tuberous sclerosis affect blinking?
OtherEffect	Can tuberous sclerosis affect eye closure?
Susceptibility	Can women get Fabry disease?
Manifestation	Can women have symptoms of glucose 6 phosphate dehydrogenase (G6PD) deficiency?
OtherEffect	Can X-linked adrenoleukodystrophy appear in a 1-year-old?
Prognosis	Can you do weight training if you have Wolff-Parkinson-White syndrome?
Prognosis	Can you do any other types of exercises if you have Wolff-Parkinson-White syndrome?
